date,Virginia,California,Florida,Texas,New York,Arizona,New Jersey,West Virginia,Nevada,North Carolina,Colorado,Michigan,Georgia,South Carolina,Massachusetts,Missouri,Connecticut,Hawaii,Oregon,Iowa,Tennessee,Delaware,Washington,Vermont,the District of Columbia,Pennsylvania,Wisconsin,North Dakota,Indiana,Illinois,Utah,Montana,Idaho,Kentucky,Maine,Minnesota,Maryland,Rhode Island,Nebraska,Kansas,New Mexico,Ohio,New Hampshire,Alaska,Oklahoma,Arkansas,Alabama,Louisiana,South Dakota,Wyoming,Mississippi
1/1/00,137233,199238,115665,114445,150761,135257,185076,71413,162642,135455,184640,122662,132164,122690,206419,101566,172135,222052,160653,96763,114902,152083,173618,128489,187207,106491,119399,,104730,147340,179799,,126669,93970,116410,135433,162683,144059,121018,96609,,112006,139728,132292,80820,81668,103937,106413,119069,,85835
2/1/00,137726,200084,116007,114569,151532,135585,185840,71473,162689,135788,185539,122867,132610,123096,207400,101770,173076,221932,161166,97055,115091,152479,174213,128863,188179,106851,119451,,104666,147663,179947,,126622,94077,117009,136117,162709,145017,121337,96672,,112171,140419,132480,80886,81842,104218,106762,118802,,85847
3/1/00,138185,201150,116368,114609,152176,135970,186480,71547,163004,136072,186391,123258,133054,123368,208425,102020,173952,222425,161564,97296,115238,152890,174724,129339,189085,107142,119697,,104566,148103,180156,,126735,94214,117455,136656,162911,145894,121578,96842,,112347,141141,132632,81104,81995,104372,106969,118429,,85893
4/1/00,139012,203391,117069,114816,153537,136721,187858,71680,163673,136662,188316,123953,133943,123995,210358,102551,175331,223113,162387,97796,115569,153757,175715,130196,191135,107710,120009,,104102,148967,180643,,126909,94516,118439,137905,163329,147567,121973,97056,,112803,142118,132759,81443,82306,104722,107434,118016,,86054
5/1/00,139735,205795,117736,114866,154766,137503,189055,71811,164384,137216,190221,124805,134792,124470,212239,103134,176284,224466,162987,98270,115862,154650,176652,131036,193052,108201,120485,,103970,149857,182512,,127323,94838,119202,139067,164047,149001,122100,97327,,113355,143135,133007,81847,82533,105052,107821,117942,,86481
6/1/00,140390,208296,118398,114937,156030,138114,190420,71996,165027,137760,192291,125613,135626,124984,214193,103710,177205,225801,163504,98684,116103,155537,177432,131713,195238,108648,120938,,104085,150723,184117,,127726,95145,120041,140387,164783,149868,122159,97586,,113948,144130,133104,82170,82729,105423,108206,117793,,86966
7/1/00,141231,210894,119051,114942,157058,138764,191863,72221,165532,138250,194275,126530,136430,125441,216517,104316,178217,227065,163886,99076,116359,156382,178296,132361,197201,109100,121525,,104692,151678,185649,,128074,95487,120879,141775,165600,150681,122190,97940,,114450,145595,133496,82514,82906,105711,108544,117663,,87355
8/1/00,142190,213648,119723,115159,157911,139391,193635,72543,166188,138692,196502,127375,137297,125969,219399,104995,179468,228634,164357,99368,116611,157097,179020,133022,198824,109494,122122,,105123,152787,185843,,128427,95879,121717,143884,166272,151523,122419,98312,,114917,147217,133492,82822,83150,105960,108756,117399,,87689
9/1/00,143224,216417,120407,115411,158657,140139,195536,72785,166895,139125,198751,128150,138178,126522,222554,105670,180700,230120,164716,99712,116942,157744,179676,133772,199995,109911,122694,,105439,153932,186334,,128695,96318,122594,145822,166986,152681,122670,98650,,115382,148913,133681,83107,83442,106265,109108,117769,,87991
10/1/00,144163,219043,121105,115674,159511,140826,197404,73117,167595,139608,200967,128872,139115,127062,225837,106396,182100,231742,165113,100165,117240,158324,180250,134745,199947,110308,123262,,105831,155066,186762,,128991,96705,123396,147817,167774,153764,122933,99032,,115839,150949,133585,83372,83741,106640,109548,118019,,88415
11/1/00,145158,221671,121841,116007,160647,141470,198973,73603,168302,140187,203086,129678,140038,127614,228917,107187,183491,232566,165537,100594,117601,159191,180908,135697,200341,110794,123786,,106408,156096,187394,,129214,97154,124495,149273,168610,154799,123271,99474,,116301,152781,133890,83729,84202,107077,110170,117944,,88864
12/1/00,146196,224253,122609,116388,161865,142102,200370,74248,168973,140803,205120,130544,141058,128043,232025,107898,184697,233451,166066,101116,118029,159935,181773,136659,200856,111302,124336,,107099,157074,187965,,129470,97635,125683,151019,169560,155991,123621,100002,,116758,154703,134293,84172,84718,107563,110780,117760,,89507
1/1/01,147252,226325,123376,116624,163032,142721,201724,74996,169662,141456,207225,131346,142064,128632,234747,108389,185837,234210,166683,101414,118540,160850,182674,137481,202074,111807,124843,,107591,157987,188535,,129968,98237,127199,152514,170289,157133,124231,100685,,117199,156386,137691,84671,85350,108121,111481,117905,,90103
2/1/01,148154,228471,124184,116581,164001,143349,203435,75339,170457,141906,209176,131977,142925,129140,237303,108738,186835,235006,167170,101766,118923,161554,183593,138559,203184,112296,125421,,107734,158806,188816,,130434,98762,128511,153909,171020,158359,124547,101460,,117575,158370,142240,85135,85656,108567,112084,118260,,90424
3/1/01,149141,230923,125039,116374,164961,143980,205136,75650,171297,142307,211182,132547,143680,129706,239911,109228,188129,235673,167718,101978,119272,162441,184445,139686,204598,112829,126021,,107790,159764,189003,,131120,99276,129765,155377,171652,159733,120737,102236,,117967,160156,147682,85512,85905,108942,112701,118929,,90647
4/1/01,150155,234012,125969,116294,165985,144620,207000,75772,172150,142592,213096,133080,144357,130023,242644,109864,189544,236501,168154,102346,119542,163226,185258,140799,206776,113408,126699,,107828,160689,189193,,131690,99710,130719,156995,172605,161384,116688,102832,,118360,162062,150805,85850,86020,109196,113212,119418,,90859
5/1/01,151291,236868,126935,116388,167081,145262,208719,76121,173036,142943,214976,133706,145109,130435,245407,110551,191043,237761,168649,102705,119852,164064,185864,141730,208937,113896,127313,,108144,161811,189288,,132214,100159,131992,158530,173613,162991,112877,103372,,118743,164185,153426,86112,86342,109455,113631,120180,,91260
6/1/01,152361,239349,127935,116525,168241,145894,210635,76387,173940,143256,216643,134263,145798,130842,248281,111253,192427,239082,169125,103141,120112,164811,186496,142583,211024,114368,127926,,108508,162850,189499,,132523,100620,133315,160037,174796,164558,113181,103882,,119065,166383,155562,86377,86653,109706,113990,120351,,91603
7/1/01,153532,241699,129022,116648,169430,146476,212611,76641,174983,143532,218319,134808,146471,131362,251298,111938,193694,240520,169702,103523,120343,165490,187044,143455,213179,114867,128548,,108917,163943,189631,,132892,101057,134779,161619,175976,166221,113534,104376,,119419,168488,157644,86618,87012,109990,114327,120618,,91864
8/1/01,154656,244046,130173,116738,170654,147080,214786,76876,176129,143870,219984,135372,147160,131702,254603,112554,195534,241863,170361,103951,120644,166168,187812,144194,215695,115415,129188,,109209,165052,189941,,133379,101413,135859,163429,177297,168304,113801,104836,,119805,170312,158873,86919,87271,110208,114736,120537,,92166
9/1/01,155841,246384,131340,116846,171804,147706,217098,77061,177223,144196,221460,135995,147847,132012,257668,113168,197455,243459,170941,104364,120953,166912,188425,144966,218397,115952,129821,,109304,166227,190181,,133893,101712,136939,165321,178617,170542,114083,105251,,120190,172234,159787,87239,87500,110498,115168,120599,,92434
10/1/01,156957,248590,132498,116970,173034,148403,219504,77300,178266,144576,222728,136616,148534,132322,261099,113828,199667,245067,171509,104780,121308,167735,189211,145846,221077,116427,130437,,109555,167423,190471,,134361,101984,137890,167279,179848,173086,114331,105696,,120557,174060,160391,87536,87624,110848,115594,120854,,92870
11/1/01,158169,250671,133587,117042,174332,149099,221578,77409,179107,144825,223734,137156,149139,132675,264383,114533,201394,246425,172013,105181,121559,168606,189850,146973,223596,116948,131027,,109723,168459,190647,,134593,102266,139194,169038,181091,175159,114587,106138,,120886,175843,161361,87777,87736,111178,116007,121129,,93110
12/1/01,159290,252632,134676,117111,175735,149724,223438,77505,180066,145068,224519,137676,149720,133015,267441,115246,202792,247646,172613,105622,121743,169512,190780,148110,226229,117437,131614,,110061,169326,190714,,134865,102525,140380,170481,182389,177289,114889,106619,,121200,177651,162352,88014,87815,111389,116338,121267,,93303
1/1/02,160353,254140,135714,117179,177139,150220,225222,77579,180853,145283,224884,138264,150235,133243,269769,115893,203948,248441,173186,105866,121877,170458,191485,149315,228701,117949,132184,,110039,170123,190762,,135019,102747,141814,171679,183731,178877,115263,107074,,121472,179479,163107,88265,87948,111497,116570,121393,,93415
